iter	RMSE
0	0.3743992326
1	0.3570676308
2	0.3393054582
3	0.3230824183
4	0.3083136225
5	0.294971041
6	0.2813688774
7	0.268431487
8	0.2591110316
9	0.2501932396
10	0.2401460481
11	0.2317448502
12	0.2238345654
13	0.2161040046
14	0.2100308059
15	0.204349826
16	0.1982658158
17	0.1929273283
18	0.1879570628
19	0.182956046
20	0.1788022937
21	0.1749846854
22	0.1712998266
23	0.1679301425
24	0.1646574806
25	0.1616076435
26	0.1584847182
27	0.1558062257
28	0.1534827099
29	0.1512158681
30	0.1491598076
31	0.1473864702
32	0.145776214
33	0.1437971614
34	0.1423317857
35	0.1406391658
36	0.1392997175
37	0.1377824556
38	0.1362408989
39	0.1348308283
40	0.1337399123
41	0.1326110445
42	0.1316394671
43	0.1307911063
44	0.1298748598
45	0.1291132599
46	0.1283335073
47	0.127411528
48	0.1267081032
49	0.1256981728
50	0.1249166775
51	0.1240694622
52	0.1233452921
53	0.1225603747
54	0.1221188656
55	0.12137666
56	0.120621333
57	0.1201160688
58	0.1194435141
59	0.1187212922
60	0.1180659075
61	0.1173558234
62	0.1168483455
63	0.1163129585
64	0.1158523554
65	0.1151875335
66	0.1148899679
67	0.1144369857
68	0.1137668501
69	0.1132736045
70	0.1127423904
71	0.1124108874
72	0.11187002
73	0.1114000417
74	0.1110950999
75	0.1107964168
76	0.1103900093
77	0.1099777447
78	0.1096385154
79	0.1093109169
80	0.1088872471
81	0.1084977008
82	0.1081102501
83	0.107693311
84	0.1074061906
85	0.1070749717
86	0.1066536406
87	0.1063290225
88	0.1060249698
89	0.1057514278
90	0.1055280172
91	0.1051452987
92	0.1047599051
93	0.1045419266
94	0.1042255824
95	0.1039599106
96	0.1036773337
97	0.1033683063
98	0.1030778421
99	0.102859662
100	0.1025996908
101	0.1024377122
102	0.1023005099
103	0.1021567261
104	0.1018067035
105	0.1017472006
106	0.1015870741
107	0.1013672672
108	0.1011513335
109	0.1008642679
110	0.1006772113
111	0.1004504771
112	0.100405565
113	0.100197267
114	0.09998862467
115	0.0997222499
116	0.09968636473
117	0.09945446397
118	0.09920628307
119	0.09917216528
120	0.09912606823
121	0.09908602579
122	0.09888732544
123	0.09867418972
124	0.09841962322
125	0.098310719
126	0.09826708104
127	0.09807333063
128	0.0978684024
129	0.09769364833
130	0.09766235615
131	0.09763223143
132	0.09738891173
133	0.09716311503
134	0.09712218739
135	0.09690999035
136	0.09688057174
137	0.09661346406
138	0.096574127
139	0.09638906693
140	0.09618315925
141	0.09597541735
142	0.0957874366
143	0.09557972391
144	0.09544651252
145	0.09540833584
146	0.09538208464
147	0.09530888773
148	0.0950647553
149	0.09499277627
150	0.09481969526
151	0.09470153227
152	0.09454940084
153	0.09436941753
154	0.09413599423
155	0.09410512803
156	0.09407541413
157	0.09398014872
158	0.09376055718
159	0.09372876037
160	0.09366295186
161	0.0936348515
162	0.0933997573
163	0.09324359229
164	0.09309837337
165	0.09292425502
166	0.09276866954
167	0.09261691532
168	0.09248233351
169	0.09245514551
170	0.09231648341
171	0.09218023533
172	0.09203462534
173	0.0920084235
174	0.09195391067
175	0.09174796833
176	0.09159187981
177	0.09142805087
178	0.09140355222
179	0.09128333923
180	0.09125943494
181	0.0912394222
182	0.09102708881
183	0.09083051448
184	0.09064783511
185	0.0904399733
186	0.09025073188
187	0.09022695854
188	0.09008801564
189	0.08992654715
190	0.08990381176
191	0.0896988829
192	0.08955192508
193	0.08953021394
194	0.08945531143
195	0.08931526166
196	0.08915018466
197	0.08900743902
198	0.08889019471
199	0.08872148641
200	0.08850962392
201	0.08844544186
202	0.08833749686
203	0.08821135003
204	0.08806122042
205	0.08797253565
206	0.08781302855
207	0.08766540609
208	0.08764431031
209	0.08753880533
210	0.08734237206
211	0.08728161015
212	0.08709904093
213	0.08696467403
214	0.08691567402
215	0.08678849519
216	0.08676195686
217	0.08665722781
218	0.08654351616
219	0.08640304471
220	0.08638052182
221	0.0863201036
222	0.08630162137
223	0.08627354938
224	0.08609908193
225	0.08598136534
226	0.08584300758
227	0.08570477663
228	0.08567707496
229	0.08557496244
230	0.08546525608
231	0.08536917221
232	0.08520650049
233	0.08500460146
234	0.08490083129
235	0.08480011193
236	0.08477657106
237	0.08460942579
238	0.08452931644
239	0.08450380238
240	0.08441392481
241	0.08429388237
242	0.08419992387
243	0.0840816246
